track_id	gt_bpm	det_bpm	det_conf	ioi_bpm	ioi_conf	comb_bpm	comb_conf	ac_bpm	ac_conf	lowac_bpm	lowac_conf	hopf_bpm	hopf_conf	spec_bpm	spec_conf	crest_db	transient_density	tempo_stability	d_low	d_high	machine_timed	drumless	duration_s	n_onsets	pc_det	pc_half	pc_double	pc_triple	es_det	es_half	es_double	es_triple	me_det	me_half	me_double	me_triple	io_det	io_half	io_double	io_triple	label
Albums-Cafe_Paradiso-05	124	125.76	0.6078	124.67	0.0545	63.50	0.4114	124.49	0.5512	85.08	0.7219	126.50	0.1582	65.50	0.6235	15.88	5.97	0.0000	5.37	4.54	0	0	30.14	180	0.0533	0.0740	0.6146	0.1066	0.2031	0.2812	0.9843	0.4263	0.0867	0.1601	0.9308	0.6940	0.8156	0.5028	0.8994	0.3464	0
Albums-Cafe_Paradiso-06	124	123.14	0.6388	124.71	0.0283	125.00	0.4846	121.96	0.5760	61.18	0.4658	124.00	0.2068	184.51	0.6407	14.86	7.17	0.0000	6.44	4.78	0	0	30.14	216	0.0390	0.1099	0.5072	0.0962	0.6452	0.4839	0.9435	0.4731	0.3154	0.0936	0.9606	0.6308	0.5814	0.2791	0.7209	0.5674	0
Albums-Cafe_Paradiso-07	124	123.7	0.6848	124.68	0.0549	67.50	0.4316	126.19	0.6729	61.83	0.5673	125.00	0.1454	61.52	0.7722	15.55	6.73	0.0000	5.71	5.21	0	0	30.14	203	0.0631	0.1796	0.4498	0.0474	0.2063	0.3750	0.9920	0.2406	0.0924	0.1209	0.9519	0.0677	0.7327	0.3515	0.9109	0.3812	0
Albums-Cafe_Paradiso-08	124	123.82	0.5861	124.67	0.0355	82.00	0.3550	121.30	0.6535	61.78	0.6192	123.00	0.1574	61.52	0.7787	15.23	5.81	0.0000	5.01	4.51	0	0	30.14	175	0.0019	0.0213	0.5887	0.0887	0.1746	0.0938	0.9280	0.4278	0.0717	0.0055	0.9565	0.6838	0.7586	0.4655	0.7586	0.4080	0
Albums-Fire-01	124	123.75	0.6453	124.68	0.0517	82.00	0.4855	126.18	0.6364	121.36	0.6999	122.00	0.1260	94.45	0.7080	15.86	6.74	0.0000	5.63	4.66	0	0	30.72	207	0.0383	0.0360	0.3486	0.1038	0.8125	0.8125	0.9134	0.5079	0.6908	0.6125	0.9205	0.6017	0.7476	0.2524	0.7767	0.5728	0
Albums-Fire-08	124	123.72	0.5486	124.73	0.0381	122.50	0.5043	61.87	0.5523	121.41	0.7471	123.00	0.1818	93.89	0.7391	15.31	7.49	0.0000	6.15	6.05	0	0	30.72	230	0.0408	0.0672	0.3198	0.1003	0.2188	0.1562	0.9370	0.5340	0.2337	0.4855	0.8537	0.5465	0.6681	0.1790	0.8079	0.5197	0
Albums-Fire-14	124	123.75	0.7660	124.68	0.0569	124.00	0.6883	121.25	0.6798	121.44	0.7489	124.00	0.2735	122.81	0.7744	16.14	5.21	0.0000	4.82	4.33	0	0	30.72	160	0.0716	0.0126	0.6898	0.0467	0.0312	0.8438	0.9685	0.3874	0.2989	0.3751	0.9158	0.8051	0.8994	0.6101	0.9057	0.2453	0
Albums-I_Like_It2-01	136	134.68	0.6090	136.26	0.0530	67.50	0.5881	132.10	0.6375	137.89	0.7323	135.00	0.2464	134.88	0.6978	16.13	6.31	0.0000	5.72	4.70	0	0	34.06	215	0.0810	0.0429	0.6450	0.0577	0.6623	0.2308	0.9281	0.3087	0.4616	0.0401	0.8398	0.4518	0.7290	0.4907	0.8224	0.4439	0
Albums-I_Like_It2-02	123	121.02	0.6543	120.02	0.0277	121.50	0.5889	118.88	0.6068	60.63	0.8503	121.00	0.2245	61.52	0.6210	17.62	7.11	0.0000	6.29	4.88	0	0	31.79	226	0.0138	0.0760	0.4551	0.1052	0.8769	0.4545	0.9612	0.4611	0.5193	0.3719	0.8849	0.7440	0.6667	0.2667	0.7911	0.4133	0
Albums-Latin_Jam-01	128	126.69	0.6178	124.69	0.0509	85.00	0.5666	128.53	0.6158	128.47	0.6312	127.00	0.2465	125.57	0.8625	14.43	7.43	0.0000	6.10	5.74	0	0	30.14	224	0.0667	0.1041	0.3267	0.1330	0.9062	0.9688	0.9531	0.5445	0.7957	0.8488	0.9144	0.5972	0.7175	0.2108	0.8565	0.4126	0
Albums-Latin_Jam-04	128	127.71	0.6845	130.25	0.0373	129.00	0.5659	127.65	0.5747	127.59	0.5260	128.50	0.1994	65.08	0.7566	14.33	8.03	0.0000	6.87	5.18	0	0	30.14	242	0.1006	0.0473	0.4464	0.1412	0.9692	0.9697	0.9845	0.5803	0.6491	0.5786	0.9138	0.6249	0.5975	0.2407	0.8631	0.5934	0
Albums-Latin_Jam-07	124	123.74	0.6810	124.66	0.0449	61.50	0.6805	61.85	0.5368	121.31	0.6013	123.50	0.2226	122.56	0.8830	15.13	6.93	0.0000	5.94	5.64	0	0	30.14	209	0.1378	0.0257	0.3307	0.2070	0.6984	0.7188	0.9760	0.3636	0.1282	0.1620	0.9068	0.1581	0.8462	0.2308	0.9038	0.4087	0
Albums-Latin_Jam-13	128	127.5	0.7007	130.25	0.0437	129.00	0.6188	127.66	0.5689	127.56	0.5117	128.50	0.2334	65.42	0.6545	12.45	8.33	0.0000	7.36	5.21	0	0	30.14	251	0.0861	0.0410	0.3948	0.1498	0.9538	0.3030	0.9612	0.5751	0.6313	0.2041	0.8991	0.5625	0.5720	0.2400	0.8680	0.6040	0
Albums-Latin_Jam2-04	128	127.69	0.6067	130.25	0.0422	86.00	0.4401	63.83	0.4969	127.95	0.5837	126.50	0.1613	65.05	0.8611	16.25	6.10	0.0000	4.91	5.51	0	0	30.14	184	0.0464	0.0273	0.6194	0.0136	0.9538	0.1818	0.9535	0.2798	0.6225	0.1530	0.9583	0.1318	0.6776	0.4590	0.8415	0.3770	0
Albums-Latin_Jam2-05	128	126.72	0.6343	124.64	0.0323	83.50	0.2698	128.49	0.6522	128.44	0.6398	128.00	0.0969	125.33	0.9116	14.23	5.97	0.0000	5.61	4.64	0	0	30.14	180	0.0980	0.0426	0.5616	0.1605	0.9375	0.9375	0.9453	0.5340	0.4636	0.4444	0.8389	0.6514	0.8101	0.4302	0.8771	0.4358	0
Albums-Latin_Jam2-06	128	127.68	0.6630	127.51	0.0338	128.50	0.5914	127.66	0.5209	127.83	0.6119	128.00	0.2288	124.95	0.6813	15.27	5.34	0.1609	5.14	4.45	0	0	30.14	161	0.0265	0.0363	0.7419	0.0387	0.0462	0.0606	0.9922	0.3731	0.0551	0.0936	0.8467	0.7859	0.8500	0.6375	0.9000	0.2062	0
Albums-Latin_Jam2-13	128	127.29	0.6024	124.68	0.0326	127.00	0.5301	128.51	0.6476	128.48	0.6274	127.00	0.1953	125.32	0.9186	13.08	6.20	0.0000	5.91	4.48	0	0	30.14	187	0.1061	0.0617	0.3319	0.0355	0.4844	0.5938	0.5703	0.4062	0.5140	0.2311	0.7600	0.4860	0.8011	0.4140	0.8387	0.4731	0
Albums-Latin_Jam3-01	128	124.03	0.6566	124.70	0.0368	61.50	0.4329	125.91	0.6067	125.92	0.6415	123.50	0.1566	122.35	0.8141	13.73	6.67	0.5528	5.51	4.94	0	0	30.14	201	0.1013	0.1208	0.5197	0.0778	0.1905	0.9062	1.0000	0.4652	0.0866	0.4080	0.8866	0.7992	0.7050	0.3500	0.8100	0.4450	0
Albums-Latin_Jam3-02	128	123.98	0.6476	124.73	0.0643	123.00	0.4585	125.93	0.6115	125.91	0.5739	123.50	0.2343	122.17	0.8431	18.04	5.34	0.0000	4.98	4.45	0	0	30.14	161	0.0410	0.0373	0.7197	0.1293	0.3333	0.0625	0.9840	0.2727	0.5153	0.0145	0.9751	0.4840	0.7937	0.5938	0.8187	0.2188	0
Albums-Latin_Jam3-03	128	124.23	0.5951	124.68	0.0330	125.50	0.4004	125.83	0.6097	125.80	0.6236	125.50	0.0827	122.23	0.8270	15.87	6.80	0.0742	6.17	5.74	0	0	30.14	205	0.0374	0.0903	0.3576	0.0857	0.1270	0.0625	1.0000	0.4043	0.1964	0.6493	0.7852	0.4741	0.8431	0.2843	0.9216	0.3480	0
Albums-Latin_Jam4-01	128	123.74	0.6221	124.66	0.0522	123.50	0.5386	121.28	0.6190	61.86	0.5062	123.50	0.1935	123.28	0.7301	12.29	5.74	0.0000	5.08	4.61	0	0	30.14	173	0.0151	0.0313	0.6446	0.0540	0.4762	0.0312	0.9840	0.2888	0.6165	0.0671	0.8963	0.4946	0.8140	0.5116	0.8430	0.3256	0
Albums-Latin_Jam4-06	128	127.76	0.5620	130.26	0.0342	84.50	0.4140	127.39	0.5796	63.84	0.4938	127.50	0.1795	64.94	0.6556	12.58	5.91	0.0000	5.54	4.54	0	0	30.14	178	0.0228	0.0475	0.6140	0.0741	0.9692	0.0606	0.9612	0.4352	0.7897	0.2338	0.9018	0.6747	0.8192	0.5198	0.9096	0.3277	0
Albums-Latin_Jam4-11	128	127.7	0.5831	124.68	0.0342	95.50	0.2691	127.95	0.6134	63.81	0.6949	128.50	0.1233	129.76	0.6392	13.06	6.40	0.0000	5.21	5.31	0	0	30.14	193	0.0814	0.0259	0.6323	0.0642	0.1231	0.8788	0.9612	0.4301	0.1806	0.6932	0.8697	0.6381	0.6823	0.4167	0.8229	0.3750	0
Albums-Latin_Jam5-02	124	123.74	0.6915	124.67	0.0536	69.50	0.2607	121.51	0.6601	61.84	0.7207	122.50	0.0900	61.52	0.7259	16.57	5.56	0.4226	5.06	4.49	0	0	30.05	167	0.0608	0.1096	0.6461	0.1267	0.1290	0.2903	0.9839	0.4409	0.0890	0.1590	0.9239	0.6521	0.8072	0.5301	0.8554	0.3373	0
Albums-Latin_Jam5-07	124	123.7	0.6525	124.68	0.0379	123.00	0.5817	121.33	0.6566	121.36	0.7874	123.50	0.2290	122.65	0.7499	14.21	5.56	0.0000	5.09	4.39	0	0	30.05	167	0.0932	0.0263	0.6866	0.0817	0.1774	0.2258	0.9919	0.2204	0.0988	0.0777	0.9283	0.1562	0.7831	0.5301	0.8313	0.3735	0
Albums-Latin_Jam5-11	124	123.7	0.5955	124.70	0.0580	83.00	0.2554	126.26	0.6833	61.90	0.6548	123.00	0.1315	108.20	0.6905	14.71	7.55	0.0000	6.26	5.56	0	0	30.05	227	0.0832	0.1486	0.3988	0.0152	1.0000	0.3226	1.0000	0.5054	0.6467	0.1990	0.8881	0.7829	0.6770	0.2478	0.8097	0.5487	0
Albums-Latino_Latino-01	128	125.75	0.4489	125.12	0.0378	63.50	0.3877	124.35	0.5196	63.44	0.6713	124.50	0.1313	61.52	0.7133	16.93	6.84	0.0000	5.63	5.44	0	0	30.72	210	0.0520	0.1059	0.4463	0.1832	0.0923	0.2424	0.9225	0.5052	0.2370	0.3232	0.8943	0.5119	0.6842	0.3014	0.8086	0.5215	0
