track_id	dataset	gt_bpm	det_bpm	label	n_beats	bpm_librosa	best_shift	best_score	prominence	is_ternary_top	is_edm_phrase_top	sim_1	sim_2	sim_3	sim_4	sim_6	sim_8	sim_12	sim_16	sim_32
Albums-Cafe_Paradiso-05	BB	124.0	125.76	0	63	123.05	16	0.957478	0.021775	0	1	0.936046	0.917889	0.926865	0.937310	0.916126	0.957396	0.935360	0.957478	0.939936
Albums-Cafe_Paradiso-06	BB	124.0	123.14	0	60	123.05	4	0.940917	0.029658	0	0	0.929443	0.896239	0.911669	0.940917	0.880186	0.935520	0.899711	0.910848	0.917084
Albums-Cafe_Paradiso-07	BB	124.0	123.7	0	62	123.05	16	0.958348	0.023912	0	1	0.949733	0.936375	0.928807	0.932498	0.924906	0.944793	0.930211	0.958348	0.957915
Albums-Cafe_Paradiso-08	BB	124.0	123.82	0	63	123.05	8	0.964114	0.090296	0	1	0.908995	0.875835	0.868506	0.851586	0.871802	0.964114	0.866873	0.950010	0.901305
Albums-Fire-01	BB	124.0	123.75	0	63	123.05	1	0.860404	0.106431	0	1	0.860404	0.767959	0.750152	0.739893	0.767072	0.755933	0.752013	0.748670	0.813640
Albums-Fire-08	BB	124.0	123.72	0	60	123.05	8	0.970113	0.027827	0	1	0.950933	0.934151	0.939822	0.944367	0.934993	0.970113	0.940206	0.968446	0.956912
Albums-Fire-14	BB	124.0	123.75	0	57	123.05	32	0.946450	0.142908	1	1	0.898211	0.817145	0.799171	0.807912	0.833925	0.790902	0.776570	0.778552	0.946450
Albums-I_Like_It2-01	BB	136.0	134.68	0	75	136.00	8	0.962337	0.088761	0	1	0.916976	0.872306	0.850215	0.844345	0.874845	0.962337	0.846299	0.944046	0.928462
Albums-I_Like_It2-02	BB	123.0	121.02	0	55	123.05	16	0.970308	0.072802	0	1	0.927710	0.902303	0.891361	0.891908	0.892709	0.969074	0.892081	0.970308	0.955761
Albums-Latin_Jam-01	BB	128.0	126.69	0	55	129.20	8	0.971418	0.009160	0	1	0.968088	0.954426	0.962813	0.968545	0.952650	0.971418	0.961703	0.969075	0.945613
Albums-Latin_Jam-04	BB	128.0	127.71	0	65	129.20	8	0.967093	0.052935	0	1	0.937286	0.923819	0.912750	0.902906	0.915565	0.967093	0.892514	0.943105	0.879219
Albums-Latin_Jam-07	BB	124.0	123.74	0	60	123.05	16	0.995145	0.026078	0	1	0.967888	0.970699	0.959944	0.964491	0.970246	0.994922	0.963614	0.995145	0.994822
Albums-Latin_Jam-13	BB	128.0	127.5	0	63	129.20	8	0.965726	0.039990	0	0	0.947054	0.936861	0.925270	0.913693	0.926203	0.965726	0.896012	0.929459	0.869892
Albums-Latin_Jam2-04	BB	128.0	127.69	0	42	129.20	16	0.988248	0.061776	0	1	0.897892	0.902141	0.900931	0.950342	0.904759	0.963213	0.948187	0.988248	0.978448
Albums-Latin_Jam2-05	BB	128.0	126.72	0	54	129.20	1	0.986382	0.013107	0	0	0.986382	0.977481	0.972214	0.975318	0.973974	0.977300	0.972577	0.966755	0.971199
Albums-Latin_Jam2-06	BB	128.0	127.68	0	33	129.20	32	0.952274	0.059579	0	1	0.923913	0.886127	0.892470	0.900861	0.888929	0.903374	0.892920	0.885821	0.952274
Albums-Latin_Jam2-13	BB	128.0	127.29	0	57	129.20	1	0.986028	0.015670	0	0	0.986028	0.975752	0.971312	0.974125	0.968681	0.971430	0.967827	0.963130	0.969404
Albums-Latin_Jam3-01	BB	128.0	124.03	0	59	123.05	8	0.984435	0.023698	0	1	0.968500	0.955715	0.958131	0.958932	0.962541	0.984435	0.962975	0.976629	0.957639
Albums-Latin_Jam3-02	BB	128.0	123.98	0	57	123.05	8	0.962443	0.056915	0	1	0.910523	0.879475	0.888092	0.907795	0.889224	0.962443	0.903262	0.944001	0.910033
Albums-Latin_Jam3-03	BB	128.0	124.23	0	55	123.05	8	0.938203	0.071974	0	1	0.917603	0.865535	0.862158	0.866924	0.871502	0.938203	0.864127	0.905736	0.850870
Albums-Latin_Jam4-01	BB	128.0	123.74	0	62	123.05	8	0.968029	0.054551	0	1	0.949457	0.915137	0.899650	0.887720	0.911819	0.968029	0.883316	0.951247	0.928467
Albums-Latin_Jam4-06	BB	128.0	127.76	0	64	129.20	8	0.951551	0.083732	0	1	0.910882	0.868281	0.849502	0.843958	0.867357	0.951551	0.839674	0.951031	0.942362
Albums-Latin_Jam4-11	BB	128.0	127.7	0	58	129.20	8	0.984088	0.034237	0	1	0.960484	0.947034	0.942193	0.951125	0.944988	0.984088	0.948577	0.982968	0.975940
Albums-Latin_Jam5-02	BB	124.0	123.74	0	61	123.05	8	0.935317	0.079359	0	1	0.906774	0.843856	0.839205	0.860490	0.850372	0.935317	0.851425	0.929390	0.906933
Albums-Latin_Jam5-07	BB	124.0	123.7	0	55	123.05	32	0.981651	0.070179	0	1	0.930105	0.910663	0.908532	0.902312	0.912282	0.969853	0.903946	0.966120	0.981651
Albums-Latin_Jam5-11	BB	124.0	123.7	0	62	123.05	8	0.977651	0.055046	0	1	0.947807	0.920559	0.919163	0.921092	0.924119	0.977651	0.920025	0.969107	0.933129
Albums-Latino_Latino-01	BB	128.0	125.75	0	60	123.05	16	0.964853	0.035815	0	1	0.925381	0.894193	0.909255	0.933290	0.900699	0.959872	0.932693	0.964853	0.951907
Albums-Latino_Latino-04	BB	120.0	117.41	0	56	117.45	8	0.942880	0.119504	0	1	0.862965	0.800925	0.808788	0.827613	0.806088	0.942880	0.819139	0.900918	0.868125
Albums-Latino_Latino-06	BB	109.0	105.72	0	50	107.67	8	0.913346	0.180269	0	1	0.827079	0.731099	0.724359	0.723102	0.735056	0.913346	0.717789	0.908825	0.830463
Albums-Macumba-01	BB	124.0	124.28	0	61	123.05	8	0.966369	0.052931	0	1	0.920537	0.915957	0.906174	0.919953	0.910920	0.966369	0.907889	0.947675	0.900463
Albums-Macumba-02	BB	124.0	124.09	0	60	123.05	16	0.951067	0.029144	0	1	0.929099	0.906385	0.926916	0.937126	0.912359	0.904816	0.921212	0.951067	0.922634
Albums-Macumba-03	BB	124.0	124.0	0	62	123.05	16	0.981716	0.045722	0	1	0.954521	0.937203	0.922160	0.909532	0.934785	0.979379	0.911070	0.981716	0.973569
Albums-Macumba-04	BB	124.0	124.02	0	57	123.05	8	0.923391	0.036236	0	1	0.914744	0.888163	0.886147	0.885226	0.870335	0.923391	0.889295	0.905352	0.874157
Albums-Mambo_Kings-03	BB	117.0	114.88	0	49	117.45	1	0.854902	0.036835	0	1	0.854902	0.773977	0.804826	0.848869	0.797343	0.831308	0.836485	0.800527	0.845712
Albums-Mambo_Kings-10	BB	106.0	102.96	0	50	103.36	32	0.961953	0.123868	0	1	0.885763	0.839882	0.831504	0.816253	0.836288	0.903834	0.820219	0.874635	0.961953
Albums-Mambo_Kings-11	BB	118.0	115.98	0	56	117.45	8	0.946134	0.111730	0	1	0.895902	0.834491	0.813733	0.821572	0.834318	0.946134	0.818728	0.928600	0.886173
Albums-Mambo_Kings-12	BB	117.0	115.14	0	54	112.35	1	0.918283	0.031484	0	0	0.918283	0.866585	0.882461	0.906452	0.888234	0.898077	0.885363	0.891459	0.844740
Albums-Pais_Tropical-05	BB	124.0	123.73	0	62	123.05	16	0.944407	0.035606	0	1	0.925480	0.879886	0.898896	0.927098	0.860748	0.905135	0.912468	0.944407	0.940423
Albums-Pais_Tropical-06	BB	124.0	123.72	0	56	123.05	8	0.945569	0.095180	0	1	0.909799	0.847646	0.829986	0.823481	0.853131	0.945569	0.833572	0.935484	0.939646
Albums-Pais_Tropical-07	BB	124.0	123.74	0	59	123.05	8	0.954199	0.060037	0	1	0.925826	0.893489	0.889751	0.890400	0.892033	0.954199	0.894834	0.942023	0.906780
Albums-Pais_Tropical-08	BB	124.0	123.66	0	59	123.05	1	0.969388	0.037400	0	1	0.969388	0.949334	0.937846	0.932141	0.914355	0.912994	0.931834	0.938715	0.909678
Media-103401	BB	124.0	124.02	0	62	123.05	16	0.983417	0.042841	0	1	0.948763	0.932389	0.928548	0.950729	0.922206	0.925834	0.950931	0.983417	0.974350
Media-103402	BB	124.0	124.0	0	62	123.05	8	0.932280	0.090498	0	1	0.893717	0.841429	0.839626	0.847893	0.837011	0.932280	0.842136	0.907150	0.818685
Media-103403	BB	124.0	124.07	0	48	123.05	1	0.932021	0.023460	0	0	0.932021	0.901621	0.902466	0.916252	0.908493	0.924120	0.887849	0.908630	0.909108
Media-103404	BB	124.0	123.97	0	60	123.05	8	0.986344	0.023962	0	1	0.970438	0.958707	0.963145	0.961620	0.954439	0.986344	0.961617	0.982306	0.977771
Media-103405	BB	124.0	124.0	0	62	123.05	16	0.947424	0.032926	0	1	0.904632	0.851063	0.880993	0.931505	0.842629	0.938028	0.924363	0.947424	0.926740
Media-103406	BB	124.0	124.03	0	62	123.05	8	0.968805	0.039732	0	1	0.950218	0.928492	0.921359	0.929653	0.924769	0.968805	0.927608	0.963574	0.966208
Media-103407	BB	124.0	124.0	0	59	123.05	8	0.941015	0.044356	0	1	0.918745	0.869482	0.874163	0.901444	0.861324	0.941015	0.891873	0.928964	0.911140
Media-103408	BB	124.0	124.04	0	63	123.05	16	0.926921	0.104271	0	1	0.888669	0.824281	0.803350	0.812123	0.796633	0.821019	0.829173	0.926921	0.860453
Media-103409	BB	124.0	124.02	0	62	123.05	16	0.956266	0.127951	0	1	0.889335	0.814703	0.806868	0.832765	0.810709	0.939791	0.823864	0.956266	0.948248
Media-103410	BB	124.0	123.92	0	54	123.05	16	0.986262	0.074880	0	1	0.931952	0.907983	0.903301	0.910362	0.908047	0.985987	0.912401	0.986262	0.978689
Media-103411	BB	124.0	123.95	0	47	123.05	32	0.907720	0.041776	0	1	0.885781	0.861712	0.861310	0.877362	0.857236	0.850315	0.870177	0.895913	0.907720
