track_id	dataset	gt_bpm	det_bpm	label	sub_bass_ratio	spectral_flatness	attack_rise_time	mfcc_variance	contrast_variance
Albums-Cafe_Paradiso-05	BB	124.0	125.76	0	0.319696	0.022144	8.0000	922.8264	14.2920
Albums-Cafe_Paradiso-06	BB	124.0	123.14	0	0.246004	0.025691	8.0000	1558.5077	17.4402
Albums-Cafe_Paradiso-07	BB	124.0	123.7	0	0.209948	0.017589	8.0000	767.5005	15.0623
Albums-Cafe_Paradiso-08	BB	124.0	123.82	0	0.229330	0.018325	8.0000	1232.2394	19.0554
Albums-Fire-01	BB	124.0	123.75	0	0.518181	0.003796	8.0000	1134.3538	18.1242
Albums-Fire-08	BB	124.0	123.72	0	0.349571	0.007456	8.0000	944.4385	15.2607
Albums-Fire-14	BB	124.0	123.75	0	0.505002	0.004046	8.0000	825.2295	13.8180
Albums-I_Like_It2-01	BB	136.0	134.68	0	0.468290	0.003966	8.0000	931.8086	30.7845
Albums-I_Like_It2-02	BB	123.0	121.02	0	0.148491	0.004748	8.0000	1364.7606	26.8323
Albums-Latin_Jam-01	BB	128.0	126.69	0	0.311048	0.025289	8.0000	955.3474	14.5972
Albums-Latin_Jam-04	BB	128.0	127.71	0	0.473397	0.015539	8.0000	966.1234	15.0325
Albums-Latin_Jam-07	BB	124.0	123.74	0	0.273912	0.031194	8.0000	873.9167	11.7908
Albums-Latin_Jam-13	BB	128.0	127.5	0	0.686860	0.005056	8.0000	930.7623	14.8892
Albums-Latin_Jam2-04	BB	128.0	127.69	0	0.220694	0.015200	8.0000	1181.0702	21.8226
Albums-Latin_Jam2-05	BB	128.0	126.72	0	0.464727	0.037509	8.0000	663.1973	13.6425
Albums-Latin_Jam2-06	BB	128.0	127.68	0	0.224209	0.019041	8.0000	1209.2874	16.4545
Albums-Latin_Jam2-13	BB	128.0	127.29	0	0.502322	0.035967	8.0000	601.7070	12.3661
Albums-Latin_Jam3-01	BB	128.0	124.03	0	0.454796	0.055264	8.0000	601.6472	12.1137
Albums-Latin_Jam3-02	BB	128.0	123.98	0	0.041308	0.022910	8.0000	702.4395	19.7867
Albums-Latin_Jam3-03	BB	128.0	124.23	0	0.225338	0.032283	8.0000	784.7589	17.0531
Albums-Latin_Jam4-01	BB	128.0	123.74	0	0.176579	0.017754	8.0000	633.8849	13.5939
Albums-Latin_Jam4-06	BB	128.0	127.76	0	0.240582	0.017805	8.0000	581.8903	15.3095
Albums-Latin_Jam4-11	BB	128.0	127.7	0	0.174541	0.042004	8.0000	644.8054	12.0364
