track_id	gt_bpm	det_bpm	det_conf	ioi_bpm	ioi_conf	comb_bpm	comb_conf	ac_bpm	ac_conf	lowac_bpm	lowac_conf	hopf_bpm	hopf_conf	spec_bpm	spec_conf	crest_db	transient_density	tempo_stability	d_low	d_high	machine_timed	drumless	duration_s	n_onsets	pc_det	pc_half	pc_double	pc_triple	es_det	es_half	es_double	es_triple	me_det	me_half	me_double	me_triple	io_det	io_half	io_double	io_triple	label	dataset	n_beats	bpm_librosa	best_shift	best_score	prominence	is_ternary_top	is_edm_phrase_top	sim_1	sim_2	sim_3	sim_4	sim_6	sim_8	sim_12	sim_16	sim_32
1030011.LOFI	126.0	126.04	0.6188	0.0	0.0	84.0	0.2989	124.07	0.5523	63.28	0.5857	126.5	0.0806	126.1	0.8842	10.14	10.31	0.0	9.43	8.9	0	0	120.06	1238	0.0624	0.0393	0.0364	0.0523	0.996	0.9843	0.499	0.6037	0.5087	0.4045	0.5913	0.5834	0.6977	0.0008	0.958	0.3961	0	GS	78	83.35	16	0.990206	0.000704	0	1	0.989408	0.989487	0.989515	0.989743	0.98928	0.989778	0.989648	0.990206	0.989441
1068430.LOFI	170.0	175.07	0.6222	176.25	0.0899	70.0	0.2018	177.66	0.5982	86.76	0.6503	175.0	0.1174	88.06	0.8044	10.72	9.72	0.0	9.06	6.14	0	0	120.06	1167	0.0418	0.0677	0.5283	0.0566	0.6667	0.2841	0.9715	0.5319	0.6079	0.3467	0.7414	0.4614	0.693	0.3405	0.8636	0.6595	0	GS	231	117.45	1	0.955456	0.077138	0	1	0.955456	0.908722	0.878107	0.842258	0.824713	0.878529	0.913118	0.817762	0.932275
1084996.LOFI	140.0	140.1	0.5423	142.75	0.0617	93.5	0.3618	139.21	0.5785	69.55	0.5339	141.0	0.1015	70.3	0.7579	10.25	9.15	0.0	8.2	6.06	0	0	120.06	1099	0.0272	0.0472	0.1451	0.0232	0.5587	0.6738	0.7041	0.5428	0.5581	0.6817	0.6	0.4966	0.7951	0.1002	0.8925	0.602	0	GS	274	143.55	1	0.958699	0.049456	0	1	0.958699	0.928307	0.900364	0.896166	0.8996	0.918122	0.89945	0.936089	0.933422
1092771.LOFI	136.0	108.73	0.5144	199.74	0.0405	79.5	0.405	109.32	0.9884	90.7	0.6483	119.5	0.1446	103.0	0.8446	8.56	8.95	0.0	8.17	5.57	0	0	120.06	1075	0.0133	0.0084	0.0081	0.0268	0.4266	0.4679	0.5115	0.5329	0.3302	0.2289	0.5104	0.4172	0.4767	0.0056	0.7765	0.8054	-1	GS	209	107.67	6	0.972817	0.014548	1	0	0.967698	0.95978	0.963331	0.954742	0.972817	0.956311	0.972089	0.956758	0.955973
1114156.LOFI	86.0	173.01	0.5826	166.5	0.0581	69.0	0.4477	170.97	0.586	115.91	0.6348	172.5	0.2337	84.17	0.771	12.78	8.32	0.0	7.87	5.82	0	0	120.03	999	0.0146	0.0139	0.0187	0.0179	0.4899	0.4483	0.4618	0.461	0.473	0.4479	0.4964	0.4915	0.7715	0.479	0.8637	0.523	1	GS	172	86.13	1	0.962046	0.011292	0	1	0.962046	0.950499	0.941527	0.951768	0.947442	0.960668	0.94375	0.956401	0.951009
1118326.LOFI	171.419	171.43	0.6754	176.25	0.0529	64.5	0.2941	171.4	0.586	171.29	0.5799	172.5	0.1125	174.01	0.7512	11.38	7.13	0.0	6.55	5.72	0	0	120.03	856	0.0091	0.0211	0.817	0.0706	0.965	0.0407	0.9679	0.3994	0.3166	0.1125	0.9069	0.6984	0.8222	0.6971	0.9275	0.3123	0	GS	347	172.27	1	0.988854	0.005993	0	0	0.988854	0.983856	0.982783	0.984355	0.980635	0.98519	0.980933	0.981853	0.982939
1120171.LOFI	174.0	174.49	0.5358	176.25	0.0823	87.0	0.4083	114.91	0.5702	114.85	0.814	174.5	0.1599	171.42	0.6629	12.98	8.31	0.567	6.69	6.56	0	0	120.03	998	0.0454	0.0175	0.035	0.0197	0.5286	0.4457	0.4907	0.4838	0.7483	0.4556	0.5791	0.4745	0.8606	0.4493	0.9198	0.5547	0	GS	235	117.45	1	0.961024	0.031804	1	0	0.961024	0.941576	0.938135	0.935093	0.929394	0.92792	0.929046	0.911086	0.902564
1171800.LOFI	140.0	140.09	0.5093	142.75	0.0482	70.5	0.304	139.21	0.6204	139.05	0.5344	139.0	0.1273	141.23	0.7918	9.71	8.58	0.0	6.9	6.44	0	0	120.03	1030	0.0878	0.0573	0.2076	0.077	0.4377	0.6241	0.7611	0.522	0.2474	0.5086	0.7592	0.4315	0.7677	0.2021	0.9106	0.5228	0	GS	280	143.55	16	0.987752	0.017211	0	1	0.978349	0.969183	0.969978	0.971106	0.96594	0.985559	0.96895	0.987752	0.983856
1174239.LOFI	172.0	173.65	0.4868	176.25	0.0542	137.5	0.2464	171.06	0.5804	171.18	0.6011	171.0	0.0552	172.98	0.6875	9.21	8.31	0.0	7.3	6.31	0	0	120.03	997	0.0124	0.0194	0.0417	0.0063	0.4339	0.4713	0.459	0.4497	0.514	0.4799	0.4966	0.5198	0.7861	0.5432	0.9528	0.4598	0	GS	346	172.27	1	0.985607	0.010616	0	1	0.985607	0.975306	0.972416	0.97253	0.974675	0.984477	0.971578	0.981241	0.977091
1177875.LOFI	148.0	147.63	0.3793	150.09	0.0692	99.0	0.1618	97.98	0.5061	144.75	0.646	149.0	0.0474	150.09	0.8727	10.09	10.74	0.0	8.04	6.5	0	0	120.03	1289	0.0505	0.0424	0.0607	0.0238	0.6115	0.6284	0.5939	0.6032	0.5957	0.4208	0.5655	0.4835	0.6048	0.0955	0.9177	0.6638	0	GS	186	99.38	1	0.975262	0.06845	1	0	0.975262	0.95075	0.934331	0.920884	0.905144	0.899938	0.899064	0.908481	0.902913
1183908.LOFI	140.0	140.19	0.3801	142.75	0.0797	93.5	0.2684	139.18	0.5811	69.59	0.6417	70.0	0.0642	141.16	0.9068	10.91	9.86	0.0	8.57	7.55	0	0	120.03	1183	0.0202	0.0226	0.006	0.0276	0.7438	0.6099	0.5187	0.5784	0.5888	0.5068	0.5055	0.53	0.7953	0.0626	0.9535	0.4856	0	GS	227	112.35	1	0.974163	0.098496	0	0	0.974163	0.937336	0.908193	0.885139	0.855078	0.859259	0.917131	0.866194	0.818423
1198571.LOFI	120.0	119.85	0.6545	149.75	0.1502	165.0	0.3404	120.08	0.5698	120.04	0.5716	119.0	0.0836	120.23	0.9187	12.42	10.56	0.0	9.92	8.0	0	0	120.03	1267	0.0477	0.0184	0.1036	0.0235	0.7917	0.8167	0.6958	0.5764	0.4952	0.4945	0.4828	0.5206	0.6027	0.0008	0.8886	0.5008	0	GS	256	161.5	1	0.994192	0.002644	1	0	0.994192	0.991526	0.9934	0.99405	0.991222	0.992692	0.991571	0.991298	0.991361
122772.LOFI	140.0	140.2	0.3542	142.75	0.0469	70.5	0.3068	139.47	0.4084	138.6	0.4792	141.5	0.0534	73.18	0.664	16.45	10.32	0.0305	8.65	7.13	0	0	120.06	1239	0.014	0.0165	0.0237	0.0159	0.484	0.5603	0.6637	0.5962	0.4224	0.4232	0.4961	0.5262	0.7068	0.067	0.9386	0.7019	0	GS	226	112.35	1	0.9688	0.092797	1	0	0.9688	0.938434	0.914918	0.896269	0.871934	0.869284	0.880071	0.843406	0.802218
1234668.LOFI	175.0	175.03	0.5626	176.25	0.0967	87.0	0.4276	177.62	0.5461	86.51	0.9111	87.5	0.0844	176.27	0.757	7.63	9.49	0.0	7.36	6.17	0	0	120.01	1139	0.1686	0.116	0.2708	0.2081	0.1823	0.4205	0.8659	0.6432	0.5072	0.607	0.6402	0.6042	0.7979	0.2346	0.913	0.7926	0	GS	350	172.27	1	0.98105	0.013766	0	1	0.98105	0.978804	0.966545	0.969521	0.964755	0.962875	0.960595	0.968022	0.972316
1234669.LOFI	175.0	175.62	0.3576	176.25	0.093	87.0	0.1461	177.85	0.6469	114.43	0.9444	176.5	0.066	82.31	0.5656	7.01	9.65	0.0	7.47	6.21	0	0	120.03	1158	0.0038	0.0196	0.0638	0.0385	0.4801	0.5057	0.5789	0.5536	0.4971	0.5052	0.5954	0.4854	0.7675	0.2809	0.8781	0.7269	0	GS	236	117.45	1	0.958234	0.082914	0	0	0.958234	0.915684	0.888923	0.873589	0.863846	0.877051	0.894234	0.858537	0.867121
1234745.LOFI	140.0	139.67	0.6045	142.75	0.0462	140.0	0.4328	139.19	0.5473	139.19	0.5828	140.0	0.1173	136.8	0.8124	10.75	8.78	0.0	7.12	5.83	0	0	120.01	1054	0.075	0.0413	0.0229	0.0448	0.6179	0.5071	0.4776	0.5304	0.4959	0.5459	0.5	0.4842	0.8101	0.1481	0.9174	0.6154	0	GS	226	143.55	1	0.986966	0.043835	1	0	0.986966	0.973741	0.96292	0.952679	0.943929	0.939473	0.936084	0.942333	0.922228
1234750.LOFI	140.0	139.46	0.3409	142.75	0.0453	141.5	0.1225	139.17	0.6002	139.33	0.5231	139.0	0.0457	141.46	0.8173	11.94	9.61	0.0	8.06	5.5	0	0	120.03	1153	0.0345	0.0182	0.037	0.0198	0.595	0.55	0.5538	0.5484	0.5498	0.53	0.526	0.4801	0.612	0.1198	0.8429	0.7248	0	GS	184	92.29	1	0.968635	0.204984	1	0	0.968635	0.92224	0.874327	0.828027	0.767476	0.748926	0.746117	0.759825	0.737424
1240669.LOFI	171.0	170.43	0.5208	176.25	0.0616	129.0	0.2544	171.74	0.5292	112.39	0.6339	170.5	0.1191	129.54	0.6807	8.81	10.91	0.0	8.3	5.96	0	0	120.03	1310	0.0317	0.0638	0.0383	0.0217	0.566	0.655	0.6012	0.5846	0.5524	0.5089	0.5117	0.4941	0.6203	0.1849	0.8388	0.8457	0	GS	343	172.27	1	0.98081	0.01544	0	0	0.98081	0.971627	0.964647	0.966687	0.966093	0.970438	0.956946	0.961544	0.958768
1240672.LOFI	174.0	174.54	0.4321	176.25	0.0691	87.5	0.4565	86.93	0.5741	176.85	0.6254	174.5	0.1381	152.61	0.7476	10.64	10.51	0.0	8.04	6.14	0	0	120.03	1262	0.0307	0.0244	0.0445	0.0187	0.5314	0.5829	0.5994	0.5658	0.422	0.7371	0.6426	0.5205	0.6709	0.2157	0.8366	0.8033	0	GS	236	117.45	1	0.947478	0.122086	1	0	0.947478	0.90856	0.87927	0.857883	0.833372	0.796592	0.765412	0.817411	0.7409
1317507.LOFI	174.0	174.37	0.5907	176.25	0.0931	116.5	0.3451	179.08	0.7531	178.69	0.682	173.5	0.1295	152.38	0.6691	13.19	10.01	0.0	8.01	6.19	0	0	120.03	1202	0.0054	0.0712	0.0787	0.0147	0.5501	0.5886	0.5888	0.5435	0.5119	0.5322	0.532	0.4696	0.6886	0.2598	0.8784	0.7469	0	GS	172	86.13	16	0.952183	0.011255	0	1	0.949861	0.942319	0.929295	0.949198	0.937576	0.948975	0.939535	0.952183	0.927149
1327052.LOFI	175.0	141.47	0.2798	142.75	0.0423	67.5	0.3526	142.47	0.3552	143.65	0.6038	132.0	0.0704	142.28	0.5694	15.55	9.82	0.0	6.55	5.94	0	0	70.06	688	0.0409	0.0032	0.0131	0.0306	0.506	0.5181	0.5378	0.5544	0.4816	0.4787	0.4487	0.4389	0.5793	0.0917	0.7787	0.8355	-1	GS	167	152.0	1	0.961107	0.025874	1	0	0.961107	0.950551	0.940943	0.935226	0.930286	0.929625	0.93524	0.937383	0.930209
