track_id	dataset	gt_bpm	det_bpm	label	sub_bass_ratio	spectral_flatness	attack_rise_time	mfcc_variance	contrast_variance
1030011.LOFI	GS	126.0	126.04	0	0.448529	0.021266	8.0000	534.5004	12.6889
1068430.LOFI	GS	170.0	175.07	0	0.397715	0.047124	8.0000	323.1411	11.8145
1084996.LOFI	GS	140.0	140.1	0	0.606254	0.027496	8.0000	659.6257	15.1637
1092771.LOFI	GS	136.0	108.73	-1	0.853884	0.007828	8.0000	324.6001	14.8812
1114156.LOFI	GS	86.0	173.01	1	0.407690	0.000478	8.0000	756.7480	25.0067
1118326.LOFI	GS	171.419	171.43	0	0.445559	0.040208	8.0000	454.9588	15.0672
1120171.LOFI	GS	174.0	174.49	0	0.558703	0.024309	8.0000	523.6902	16.1498
1171800.LOFI	GS	140.0	140.09	0	0.506251	0.020094	8.0000	859.1627	17.1349
1174239.LOFI	GS	172.0	173.65	0	0.277771	0.088581	8.0000	274.5638	12.1346
1177875.LOFI	GS	148.0	147.63	0	0.247044	0.064269	8.0000	502.5291	12.2780
1183908.LOFI	GS	140.0	140.19	0	0.574635	0.006358	8.0000	894.5232	12.3954
1198571.LOFI	GS	120.0	119.85	0	0.675887	0.002551	8.0000	756.8142	19.5837
122772.LOFI	GS	140.0	140.2	0	0.280243	0.004948	8.0000	674.4402	16.0953
1234668.LOFI	GS	175.0	175.03	0	0.675056	0.016448	8.0000	356.3729	11.9377
1234669.LOFI	GS	175.0	175.62	0	0.708435	0.009640	8.0000	1863.2300	23.8506
1234745.LOFI	GS	140.0	139.67	0	0.534229	0.020071	8.0000	473.6625	13.6595
1234750.LOFI	GS	140.0	139.46	0	0.278229	0.028733	8.0000	389.6027	12.4096
1240669.LOFI	GS	171.0	170.43	0	0.360673	0.037033	8.0000	1139.7542	14.5854
1240672.LOFI	GS	174.0	174.54	0	0.503881	0.005505	8.0000	798.4322	16.4304
1317507.LOFI	GS	174.0	174.37	0	0.502716	0.042701	8.0000	988.8870	11.4509
1327052.LOFI	GS	175.0	141.47	-1	0.036617	0.007308	8.0000	1807.1823	18.0084
1329955.LOFI	GS	126.0	174.21	-1	0.215671	0.002891	8.0000	994.3609	17.9550
1380256.LOFI	GS	126.0	104.73	-1	0.579046	0.002727	8.0000	1053.8026	25.5718
1418652.LOFI	GS	140.0	186.5	-1	0.571750	0.030103	8.0000	1338.1570	17.5439
1424458.LOFI	GS	126.0	167.96	-1	0.891643	0.001969	8.0000	493.6807	13.7504
1461087.LOFI	GS	175.0	178.85	0	0.638503	0.018956	8.0000	469.7742	13.6476
1469706.LOFI	GS	130.0	129.95	0	0.527241	0.018287	8.0000	725.5784	14.7515
1479462.LOFI	GS	90.0	193.96	-1	0.554702	0.011780	8.0000	694.2973	16.0365
1514866.LOFI	GS	140.0	140.15	0	0.657384	0.009740	8.0000	1151.9672	19.6931
1548088.LOFI	GS	137.0	136.99	0	0.408544	0.011102	8.0000	552.7289	12.7582
1556416.LOFI	GS	140.0	140.01	0	0.285093	0.028775	8.0000	372.7035	12.7302
1560139.LOFI	GS	140.0	140.07	0	0.298212	0.066378	8.0000	235.5654	10.0283
1560729.LOFI	GS	123.0	123.0	0	0.481051	0.016115	8.0000	460.6169	13.9842
1562235.LOFI	GS	124.0	122.99	0	0.745490	0.015130	8.0000	1078.6503	17.4944
1569136.LOFI	GS	170.5	169.1	0	0.300742	0.054239	8.0000	93.6080	9.9885
1623443.LOFI	GS	140.0	140.15	0	0.584109	0.007833	8.0000	1849.1509	22.8891
1626348.LOFI	GS	140.0	139.99	0	0.336485	0.052245	8.0000	141.9830	12.1638
1676961.LOFI	GS	170.0	169.1	0	0.393722	0.056037	8.0000	442.0959	11.4599
1698047.LOFI	GS	174.0	174.52	0	0.664845	0.008947	8.0000	1208.6100	18.4364
172384.LOFI	GS	84.0	167.99	1	0.255574	0.013342	8.0000	350.8584	14.7054
1728723.LOFI	GS	140.0	140.0	0	0.347293	0.045285	8.0000	245.3519	12.1948
1735621.LOFI	GS	95.25	126.95	-1	0.535558	0.014512	8.0000	444.2979	12.3139
1743969.LOFI	GS	130.0	157.02	-1	0.367961	0.000912	8.0000	369.6358	13.3624
1747518.LOFI	GS	140.0	140.22	0	0.773840	0.000675	8.0000	650.9189	17.2668
1753073.LOFI	GS	140.0	139.46	0	0.431058	0.082791	8.0000	857.2018	15.4828
1765409.LOFI	GS	72.0	144.64	1	0.076069	0.000417	8.0000	571.2449	20.1356
1791554.LOFI	GS	126.0	62.95	2	0.643858	0.004330	8.0000	485.2329	14.4490
1816200.LOFI	GS	123.0	123.01	0	0.153884	0.002129	8.0000	254.0078	11.1889
1817444.LOFI	GS	172.0	173.65	0	0.662369	0.022593	8.0000	247.8221	12.2396
1825982.LOFI	GS	123.0	123.07	0	0.460807	0.009209	8.0000	685.2679	20.1244
1839656.LOFI	GS	140.0	140.15	0	0.631701	0.002485	8.0000	1040.6682	29.9764
1842615.LOFI	GS	148.0	147.64	0	0.449112	0.044756	8.0000	1264.3273	14.5249
1851619.LOFI	GS	99.0	99.02	0	0.241648	0.034694	8.0000	624.2309	16.4312
1855660.LOFI	GS	174.0	174.08	0	0.059942	0.001545	8.0000	1431.9668	17.8812
1874244.LOFI	GS	70.0	186.56	-1	0.772430	0.002042	8.0000	1081.6750	24.3652
1885798.LOFI	GS	101.0	134.65	-1	0.384852	0.007800	8.0000	423.4585	16.0982
