track_id	gt_bpm	det_bpm	det_conf	ioi_bpm	ioi_conf	comb_bpm	comb_conf	ac_bpm	ac_conf	lowac_bpm	lowac_conf	hopf_bpm	hopf_conf	spec_bpm	spec_conf	crest_db	transient_density	tempo_stability	d_low	d_high	machine_timed	drumless	duration_s	n_onsets	pc_det	pc_half	pc_double	pc_triple	es_det	es_half	es_double	es_triple	me_det	me_half	me_double	me_triple	io_det	io_half	io_double	io_triple	label
blues.00000	125.87	125.23	0.6324	187.75	0.0256	62.50	0.6641	125.68	0.5009	125.71	0.5952	187.50	0.1850	127.52	0.8057	14.04	6.96	0.0000	5.36	5.16	0	0	30.01	209	0.2538	0.0528	0.1556	0.5337	0.5238	0.4688	0.4206	0.7234	0.4353	0.2333	0.5983	0.5953	0.6154	0.1202	0.6298	0.7837	0
blues.00001	67.77	67.71	0.6677	193.75	0.0158	68.50	0.5780	66.66	0.9284	67.87	0.9517	66.50	0.1702	67.62	0.8305	15.51	6.53	0.0000	4.73	4.20	0	0	30.01	196	0.0501	0.0575	0.0671	0.2437	0.2059	0.3529	0.5000	0.5392	0.3819	0.6169	0.7891	0.7716	0.2667	0.0000	0.4923	0.6154	0
blues.00002	157.57	156.93	0.7082	167.00	0.0202	155.50	0.3794	164.68	0.7283	159.48	0.6351	78.50	0.1514	158.71	0.8066	13.05	6.96	0.0000	5.56	5.20	0	0	30.01	209	0.2364	0.0454	0.3807	0.3785	0.1266	0.7500	0.6497	0.5593	0.5977	0.3456	0.6512	0.6091	0.6250	0.3269	0.5817	0.7788	0
blues.00003	62.35	62.46	0.8753	171.75	0.0198	62.50	0.7878	62.79	0.9689	61.75	0.9659	62.00	0.2060	61.66	0.8408	13.67	6.90	0.0000	4.93	4.33	0	0	30.01	207	0.1203	0.0169	0.0773	0.2835	0.5000	0.8125	0.5873	0.6809	0.1935	0.9277	0.8582	0.8092	0.1796	0.0000	0.4903	0.6019	0
blues.00004	133.24	174.15	0.3047	176.75	0.0164	79.50	0.3639	137.43	0.6162	134.48	0.5886	199.50	0.1378	64.02	0.7320	15.96	7.06	0.0000	5.93	5.50	0	0	30.01	212	0.0298	0.0090	0.0527	0.0100	0.3864	0.3864	0.4229	0.4198	0.3674	0.5089	0.4933	0.4042	0.7251	0.3412	0.6161	0.6256	-1
blues.00005	68.77	103.38	0.4406	187.75	0.0177	106.00	0.3950	105.08	0.6776	68.79	0.9037	102.00	0.1431	87.78	0.5907	17.51	6.13	0.0000	4.60	4.63	0	0	30.01	184	0.0324	0.0473	0.1169	0.0792	0.3269	0.3462	0.4327	0.3782	0.3937	0.1116	0.7094	0.4054	0.4699	0.1148	0.5574	0.5464	-1
blues.00006	73.25	74.98	0.5157	182.00	0.0170	78.50	0.4722	77.28	0.9111	76.93	0.9932	117.50	0.1474	153.02	0.5631	13.97	6.56	0.0000	5.20	4.70	0	0	30.01	197	0.0272	0.0066	0.0300	0.0816	0.3684	0.4211	0.3421	0.3717	0.4627	0.2818	0.3685	0.6377	0.2806	0.0051	0.4847	0.6429	0
blues.00007	93.32	119.91	0.3471	120.23	0.0124	90.00	0.4432	93.08	0.3866	93.02	1.0000	141.00	0.0967	90.50	0.6725	15.24	6.56	0.0000	5.46	4.73	0	0	30.01	197	0.0642	0.0280	0.0768	0.1455	0.5333	0.3667	0.4000	0.4333	0.4403	0.4786	0.3099	0.4564	0.6173	0.1582	0.6173	0.6071	-1
blues.00008	169.41	168.13	0.6603	166.99	0.0238	84.00	0.6343	85.12	0.6181	165.08	0.6015	168.00	0.1638	166.59	0.8374	14.02	7.03	0.0000	5.40	5.43	0	0	30.01	211	0.2297	0.0866	0.4237	0.2312	0.2000	0.4651	0.6154	0.4862	0.6401	0.5980	0.5446	0.6440	0.6143	0.4476	0.5857	0.7619	0
blues.00009	81.86	108.13	0.3812	107.26	0.0113	64.50	0.3991	82.44	0.8445	81.05	0.7570	121.50	0.0995	82.84	0.6466	15.53	7.03	0.0000	5.33	4.76	0	0	30.01	211	0.0926	0.0654	0.0147	0.0283	0.3455	0.3571	0.3945	0.4172	0.5501	0.4692	0.5101	0.5276	0.5286	0.0714	0.6762	0.7000	-1
blues.00010	80.14	119.92	0.4480	120.25	0.0177	81.00	0.5013	79.79	0.7238	164.15	0.5116	119.00	0.1353	111.90	0.6354	13.84	6.00	0.0000	5.03	5.16	0	0	30.01	180	0.0262	0.0480	0.1109	0.0771	0.3833	0.4667	0.4500	0.3556	0.2554	0.3673	0.6394	0.5032	0.7430	0.2011	0.6704	0.5698	-1
blues.00011	55.6	156.6	0.6987	176.75	0.0265	83.50	0.6311	152.67	1.0000	60.14	1.0000	83.50	0.2189	111.71	0.8112	15.49	8.26	0.0000	5.80	4.83	0	0	30.01	248	0.0424	0.0374	0.0774	0.0535	0.4557	0.4750	0.5032	0.5085	0.3955	0.3935	0.4814	0.5749	0.5668	0.1943	0.7045	0.7530	-1
blues.00012	93.68	187.06	0.5149	187.75	0.0187	75.00	0.4695	182.01	0.4948	93.57	0.5377	187.00	0.1032	187.98	0.7268	13.94	6.80	0.0000	5.53	4.90	0	0	30.01	204	0.0637	0.0185	0.2510	0.0405	0.5213	0.2553	0.5426	0.4057	0.6896	0.3045	0.6920	0.6208	0.7488	0.5025	0.7537	0.6453	1
blues.00013	107.12	107.49	0.6431	111.26	0.0114	70.00	0.4112	104.69	1.0000	108.02	1.0000	105.50	0.1701	115.00	0.5323	14.74	6.43	0.0000	5.50	4.90	0	0	30.01	193	0.0435	0.0455	0.1323	0.0628	0.4074	0.4074	0.4074	0.4321	0.4423	0.6436	0.7055	0.5743	0.6979	0.1823	0.7917	0.4948	0
blues.00014	84.07	160	0.5020	176.75	0.0177	159.50	0.4416	157.67	0.6709	156.83	0.7924	79.50	0.1066	160.80	0.6041	17.14	8.06	0.0000	5.96	4.83	0	0	30.01	242	0.0184	0.0069	0.0882	0.0516	0.4198	0.3415	0.5093	0.4855	0.5045	0.4788	0.5553	0.4462	0.6639	0.2863	0.7593	0.7469	-1
blues.00015	98.31	99.53	0.6763	187.75	0.0256	80.50	0.3970	102.14	0.9558	99.98	0.8712	100.00	0.1070	96.73	0.6988	18.13	6.93	0.0000	5.36	4.76	0	0	30.01	208	0.0424	0.0320	0.0867	0.0425	0.4400	0.4800	0.3600	0.3867	0.4343	0.3280	0.7114	0.4723	0.4831	0.0628	0.6860	0.6329	0
blues.00016	100.85	100.35	0.3226	187.75	0.0249	101.00	0.3758	0.00	0.0000	0.00	0.0000	102.50	0.1073	150.07	0.6294	15.48	7.20	0.0000	5.66	4.56	0	0	30.01	216	0.0467	0.0662	0.1132	0.0549	0.4902	0.3077	0.5050	0.4305	0.7024	0.3797	0.6936	0.4279	0.5581	0.1163	0.7488	0.6233	0
blues.00017	169.32	167.12	0.6610	176.75	0.0227	169.50	0.4361	167.50	0.6376	160.94	0.7538	88.00	0.1111	163.58	0.7119	15.88	7.26	0.0000	5.70	4.53	0	0	30.01	218	0.0352	0.0505	0.0572	0.0215	0.5000	0.2381	0.4107	0.4024	0.6520	0.3793	0.5213	0.5145	0.6774	0.4147	0.7650	0.7373	0
blues.00018	82.43	83	0.6354	187.75	0.0232	83.00	0.6262	82.57	0.6765	82.73	0.9736	125.00	0.1074	82.30	0.8250	16.29	7.20	0.0000	5.43	4.90	0	0	30.01	216	0.0570	0.0533	0.0440	0.1787	0.5714	0.4286	0.4762	0.6000	0.5533	0.5351	0.4602	0.7167	0.2930	0.0000	0.6977	0.7163	0
blues.00019	123.93	124.18	0.5127	125.25	0.0263	61.50	0.5365	122.94	0.5423	122.34	0.5958	123.00	0.1877	67.19	0.7081	15.31	6.40	0.0000	5.26	4.63	0	0	30.01	192	0.0071	0.0293	0.0874	0.0101	0.4127	0.2812	0.4160	0.3422	0.5643	0.4671	0.5223	0.4331	0.7016	0.3508	0.8220	0.5079	0
blues.00020	137.61	136.35	0.4643	136.50	0.0296	94.00	0.3929	139.55	0.4639	136.08	0.4980	140.50	0.0873	64.75	0.5308	17.47	6.30	0.0000	5.36	4.76	0	0	30.01	189	0.0529	0.0321	0.2527	0.0645	0.5072	0.5429	0.4672	0.4244	0.5580	0.4721	0.5565	0.5689	0.6809	0.3989	0.7979	0.5106	0
blues.00021	100.97	100.16	0.5730	158.25	0.0198	99.50	0.4562	100.02	0.4777	100.01	1.0000	100.50	0.1245	99.79	0.8266	15.98	6.73	0.0000	5.40	4.43	0	0	30.01	202	0.0580	0.0334	0.1083	0.2731	0.3529	0.4615	0.3960	0.5695	0.2739	0.4155	0.6290	0.5612	0.4776	0.0547	0.5672	0.7164	0
blues.00022	98.17	98.97	0.4518	143.00	0.0207	75.00	0.5056	100.04	0.6597	100.58	0.9784	140.50	0.0860	99.59	0.6013	15.39	6.06	0.0000	5.10	4.33	0	0	30.01	182	0.0585	0.0240	0.1554	0.2386	0.2200	0.2400	0.4300	0.4765	0.1827	0.4795	0.7063	0.5932	0.5138	0.0608	0.5414	0.6630	0
blues.00023	96.8	97.52	0.3159	187.75	0.0215	196.00	0.4360	182.89	0.4829	180.03	0.7352	98.00	0.1227	193.08	0.6884	14.61	6.90	0.0000	5.50	5.50	0	0	30.01	207	0.0222	0.0451	0.1580	0.0919	0.4490	0.3200	0.6224	0.4354	0.2490	0.4580	0.7430	0.4748	0.5728	0.0631	0.7767	0.5680	0
blues.00024	103.59	103.63	0.5247	187.75	0.0189	68.50	0.4496	101.15	0.9576	102.15	0.9844	103.50	0.1494	96.86	0.4917	17.54	6.56	0.0000	5.46	4.86	0	0	30.01	197	0.0509	0.0253	0.0278	0.0620	0.4231	0.3077	0.4327	0.4359	0.4768	0.5625	0.4907	0.3743	0.5816	0.1531	0.7143	0.5612	0
blues.00025	95.33	185.76	0.5164	187.75	0.0353	186.00	0.4105	184.32	0.5929	92.10	0.5029	94.00	0.1462	188.31	0.6247	16.41	7.46	0.0000	6.36	4.90	0	0	30.01	224	0.0218	0.0186	0.1658	0.0083	0.4301	0.4255	0.5430	0.4373	0.5237	0.3689	0.5770	0.6154	0.7758	0.4574	0.7668	0.6188	1
blues.00026	81.31	166.86	0.3553	167.00	0.0141	78.00	0.4537	82.90	0.7118	82.60	1.0000	121.50	0.1596	83.05	0.6803	18.11	6.93	0.0000	5.73	4.40	0	0	30.01	208	0.0307	0.0393	0.1455	0.1036	0.4048	0.5714	0.4611	0.4143	0.3989	0.7688	0.6091	0.3787	0.5556	0.3430	0.6618	0.7536	1
blues.00027	93.33	95.3	0.6094	167.00	0.0190	92.50	0.4674	94.19	0.8857	93.83	0.9823	143.00	0.1011	94.13	0.7393	14.96	7.20	0.0000	5.90	4.56	0	0	30.01	216	0.0427	0.0168	0.0948	0.0685	0.4583	0.4167	0.5312	0.4722	0.3752	0.7297	0.6932	0.5718	0.4558	0.0419	0.6698	0.7070	0
blues.00028	103.84	103.87	0.4805	187.75	0.0130	85.00	0.3998	0.00	0.0000	69.50	1.0000	105.50	0.1505	61.66	0.4766	17.51	6.83	0.0000	5.60	5.00	0	0	30.01	205	0.0239	0.0051	0.2470	0.0732	0.3654	0.4231	0.7212	0.4167	0.3998	0.5630	0.7956	0.5374	0.6127	0.1618	0.7794	0.5392	0
blues.00029	126.46	134.06	0.4571	136.50	0.0185	129.00	0.4355	131.98	0.6659	131.83	0.6676	129.00	0.1365	123.76	0.7024	13.72	7.13	0.0000	5.30	5.26	0	0	30.01	214	0.0369	0.0170	0.0869	0.0130	0.3971	0.4118	0.5037	0.3861	0.3874	0.6908	0.6895	0.4260	0.5869	0.2582	0.7793	0.6714	-1
blues.00030	110.11	110.82	0.6504	187.75	0.0354	66.50	0.3038	111.02	0.6596	111.05	1.0000	153.50	0.0506	111.88	0.7566	12.42	8.30	0.0000	6.16	5.83	0	0	30.01	249	0.0269	0.0454	0.1343	0.0902	0.3214	0.4286	0.5495	0.5389	0.4888	0.4955	0.5872	0.4917	0.6129	0.0403	0.7903	0.6210	0
blues.00031	116.48	174.45	0.3921	176.75	0.0160	83.50	0.3776	92.00	0.9154	113.80	0.9525	84.00	0.0751	166.04	0.4825	12.18	8.06	0.0000	6.53	5.86	0	0	30.01	242	0.0321	0.0036	0.1132	0.0396	0.4773	0.4545	0.5371	0.4618	0.4900	0.3954	0.4578	0.4705	0.7137	0.2697	0.6100	0.7801	-1
blues.00032	126.12	124.76	0.4324	176.75	0.0263	80.00	0.4493	126.16	0.6197	125.16	1.0000	78.50	0.0867	85.15	0.5965	13.94	7.06	0.0000	5.26	5.13	0	0	30.01	212	0.0184	0.0383	0.0285	0.1107	0.4921	0.5312	0.4240	0.4574	0.4888	0.3122	0.4905	0.5514	0.5829	0.1280	0.6256	0.7583	0
blues.00033	154.56	153.66	0.5442	150.25	0.0294	153.50	0.4190	152.63	0.5061	152.75	0.5429	154.00	0.1438	82.56	0.6901	12.89	7.13	0.0000	6.00	5.23	0	0	30.01	214	0.0655	0.0451	0.1698	0.0770	0.3896	0.3846	0.5065	0.4459	0.4389	0.4531	0.5911	0.5549	0.7418	0.4272	0.7887	0.5399	0
blues.00034	93.81	187.55	0.5351	187.75	0.0461	62.00	0.4458	180.86	0.7365	181.11	0.7452	187.50	0.1429	188.00	0.7200	14.96	7.63	0.0000	6.20	5.63	0	0	30.01	229	0.0606	0.0457	0.3221	0.0470	0.5957	0.8085	0.6543	0.4504	0.6094	0.6954	0.6901	0.6900	0.7325	0.4956	0.7939	0.5833	1
blues.00035	129.6	123.66	0.3958	136.50	0.0209	86.50	0.3503	124.64	0.6602	127.88	0.8155	129.00	0.1038	143.34	0.5974	12.72	7.73	0.0000	5.60	5.56	0	0	30.01	232	0.0288	0.0618	0.0420	0.0351	0.3871	0.4194	0.4758	0.4409	0.4608	0.5590	0.5767	0.6131	0.5671	0.1255	0.7013	0.6407	-1
blues.00036	113.22	174.46	0.3445	176.75	0.0222	65.50	0.3961	116.44	0.7667	116.49	0.9798	98.50	0.0836	114.69	0.6774	12.32	8.26	0.0000	6.50	6.33	0	0	30.01	248	0.0381	0.0081	0.0228	0.0710	0.5568	0.4091	0.5029	0.5344	0.4241	0.5298	0.5682	0.4660	0.7530	0.2510	0.5749	0.8502	-1
blues.00037	75.55	77.67	0.7151	125.25	0.0206	77.50	0.7185	78.90	1.0000	79.31	1.0000	116.50	0.1828	75.66	0.6871	17.72	5.76	0.0000	4.93	4.63	0	0	30.01	173	0.0524	0.0552	0.0304	0.0920	0.3333	0.5500	0.3333	0.3504	0.3804	0.2281	0.3767	0.5955	0.3895	0.0174	0.4651	0.5814	0
blues.00038	85.52	127.6	0.4310	130.50	0.0263	62.50	0.4072	124.09	0.4034	87.64	0.7334	72.00	0.0695	83.47	0.5482	13.88	7.96	0.0000	6.53	5.50	0	0	30.01	239	0.0460	0.0443	0.0478	0.0197	0.4219	0.4688	0.4219	0.4635	0.4326	0.4843	0.4252	0.5225	0.6134	0.1303	0.8151	0.6261	-1
blues.00039	116.62	117.43	0.7138	193.75	0.0244	78.00	0.5065	117.90	0.8809	118.77	1.0000	117.50	0.1322	117.70	0.7258	17.59	7.13	0.0000	5.66	4.96	0	0	30.01	214	0.0462	0.0489	0.1243	0.2207	0.5085	0.7667	0.5339	0.5593	0.7367	0.7536	0.6525	0.7747	0.5352	0.1174	0.6103	0.7324	0
blues.00040	172.25	172.95	0.6323	176.75	0.0501	69.00	0.4657	171.03	0.6198	171.04	0.5920	172.50	0.1943	173.68	0.8107	12.48	6.70	0.0000	6.13	5.80	0	0	30.01	201	0.0774	0.0395	0.5116	0.0502	0.2644	0.6136	0.7184	0.3885	0.5851	0.5623	0.5438	0.4524	0.8600	0.7600	0.9150	0.2450	0
blues.00041	127.48	126.24	0.5416	187.75	0.0312	134.00	0.3759	63.74	0.4840	128.15	0.5578	195.50	0.0892	125.80	0.7295	14.40	6.63	0.0000	5.30	4.60	0	0	30.01	199	0.1544	0.0186	0.0975	0.1368	0.5938	0.5000	0.4961	0.4474	0.4509	0.6025	0.3967	0.5951	0.6667	0.1313	0.5657	0.7778	0
blues.00042	59.68	179.68	0.5973	176.75	0.0238	179.00	0.5434	60.14	1.0000	60.14	1.0000	88.50	0.1449	179.13	0.7757	14.56	6.96	0.0000	5.63	4.80	0	0	30.01	209	0.1906	0.0102	0.1950	0.1006	0.6667	0.3333	0.5167	0.4407	0.7406	0.4435	0.5908	0.5482	0.6779	0.4519	0.7212	0.6683	-1
blues.00043	129.44	129.61	0.5824	187.75	0.0294	63.50	0.4833	64.50	0.5048	131.55	0.5917	195.00	0.1457	128.93	0.7934	15.13	6.83	0.0000	6.06	4.90	0	0	30.01	205	0.2046	0.0059	0.1385	0.5678	0.2308	0.1515	0.4231	0.7333	0.3334	0.7465	0.7091	0.5751	0.6618	0.1225	0.5196	0.8480	0
blues.00044	202.94	135.59	0.6270	187.75	0.0732	101.50	0.3442	137.13	0.6494	137.51	0.6159	76.00	0.0616	152.30	0.7741	12.23	7.66	0.0000	6.90	6.36	0	0	30.01	230	0.0028	0.0155	0.0254	0.3863	0.6471	0.6765	0.4485	0.6618	0.4968	0.3875	0.4291	0.5234	0.7948	0.0175	0.6114	0.9432	-1
blues.00045	263.53	131.83	0.5674	130.50	0.0307	87.50	0.3521	129.97	0.5934	129.91	0.6142	132.50	0.0892	120.80	0.5011	12.77	6.83	0.0000	6.16	5.03	0	0	30.01	205	0.0574	0.0199	0.4034	0.1634	0.4545	0.8485	0.9394	0.4747	0.5396	0.5581	0.7776	0.5306	0.8382	0.3284	0.9363	0.4853	2
blues.00046	121.77	122.46	0.5720	120.24	0.0185	60.00	0.4465	123.60	0.5509	123.64	0.6333	121.00	0.1896	124.41	0.7577	14.26	5.73	0.0000	4.73	4.40	0	0	30.01	172	0.1023	0.0572	0.0976	0.0324	0.4355	0.4839	0.2846	0.3478	0.3536	0.2359	0.4802	0.5970	0.6257	0.3743	0.6491	0.4561	0
blues.00047	151.09	148.67	0.6439	158.25	0.0201	149.50	0.5872	151.37	0.6667	149.20	0.5994	149.00	0.1728	150.87	0.7056	14.24	7.23	0.0000	5.90	5.26	0	0	30.01	217	0.0710	0.0197	0.2218	0.1494	0.2667	0.3684	0.5705	0.4777	0.3578	0.3550	0.6931	0.5762	0.6574	0.2778	0.6991	0.6806	0
blues.00048	121.23	121.7	0.5886	187.75	0.0441	60.50	0.4858	60.14	0.4807	119.97	0.6638	181.00	0.1356	120.03	0.7203	13.61	7.23	0.0000	5.53	5.13	0	0	30.01	217	0.1680	0.0537	0.1200	0.3317	0.6885	0.3871	0.4426	0.5738	0.4772	0.6860	0.5908	0.5228	0.6065	0.1111	0.5278	0.8287	0
blues.00049	61.99	94.37	0.5095	150.25	0.0197	93.50	0.5587	61.89	0.6242	62.79	0.7066	125.00	0.1641	65.23	0.6469	13.12	6.93	0.0000	5.70	4.93	0	0	30.01	208	0.0431	0.0389	0.0349	0.0794	0.3333	0.4583	0.4632	0.4366	0.3653	0.6308	0.6575	0.3970	0.5845	0.0097	0.5459	0.7005	-1
blues.00050	136.26	135.92	0.6318	187.75	0.0332	67.50	0.5337	67.33	0.4786	132.32	0.5580	68.00	0.1598	135.07	0.8594	13.28	6.80	0.0000	5.70	4.90	0	0	30.01	204	0.1265	0.1004	0.0719	0.4304	0.5147	0.3235	0.3824	0.6569	0.4777	0.3518	0.4500	0.5890	0.6453	0.1281	0.5862	0.8473	0
blues.00051	195.64	98.91	0.6035	193.75	0.0170	66.00	0.4304	100.45	0.8086	100.41	0.6045	198.00	0.0777	199.67	0.8303	12.28	5.96	0.0000	5.06	4.33	0	0	30.01	179	0.2028	0.0259	0.4189	0.1318	0.5000	0.6000	0.6768	0.4027	0.3441	0.5156	0.6767	0.6678	0.5730	0.1798	0.6798	0.6124	2
