track_id	dataset	gt_bpm	det_bpm	label	n_beats	bpm_librosa	best_shift	best_score	prominence	is_ternary_top	is_edm_phrase_top	sim_1	sim_2	sim_3	sim_4	sim_6	sim_8	sim_12	sim_16	sim_32
blues.00000	GZ	125.87	125.23	0	62	123.05	1	0.948020	0.013106	0	1	0.948020	0.926130	0.925749	0.936788	0.929553	0.933039	0.938403	0.945865	0.947650
blues.00001	GZ	67.77	67.71	0	35	68.00	32	0.980385	0.021063	0	1	0.969270	0.964700	0.958622	0.964936	0.960021	0.955866	0.946625	0.942786	0.980385
blues.00002	GZ	157.57	156.93	0	76	161.50	1	0.938157	0.031132	0	1	0.938157	0.905067	0.909774	0.922720	0.899475	0.905113	0.898278	0.908936	0.913264
blues.00003	GZ	62.35	62.46	0	30	63.02	4	0.977203	0.087925	0	0	0.880083	0.864164	0.889278	0.977203	0.861448	0.969217	0.963749	0.961126	0.000000
blues.00004	GZ	133.24	174.15	-1	64	136.00	1	0.956861	0.014175	0	0	0.956861	0.945862	0.936446	0.944578	0.936778	0.947772	0.942713	0.942660	0.940572
blues.00005	GZ	68.77	103.38	-1	36	69.84	1	0.941093	0.041478	1	1	0.941093	0.897322	0.883461	0.885076	0.916405	0.884750	0.901908	0.937534	0.910170
blues.00006	GZ	73.25	74.98	0	37	71.78	1	0.903152	0.014127	1	1	0.903152	0.888201	0.894243	0.889383	0.888665	0.877131	0.893352	0.896984	0.873813
blues.00007	GZ	93.32	119.91	-1	47	92.29	1	0.916663	0.021300	0	1	0.916663	0.900737	0.894702	0.896024	0.888245	0.892020	0.898407	0.899705	0.850784
blues.00008	GZ	169.41	168.13	0	41	83.35	4	0.988387	0.004737	0	1	0.924286	0.984277	0.922034	0.988387	0.983252	0.985730	0.984048	0.982673	0.985962
blues.00009	GZ	81.86	108.13	-1	42	80.75	1	0.885450	0.038227	0	0	0.885450	0.861022	0.845332	0.857049	0.844727	0.849114	0.839602	0.855955	0.825104
blues.00010	GZ	80.14	119.92	-1	78	161.50	1	0.955494	0.065879	1	0	0.955494	0.927054	0.919790	0.910975	0.897994	0.881237	0.858528	0.844280	0.854072
blues.00011	GZ	55.6	156.6	-1	83	161.50	12	0.903610	0.141392	0	0	0.867306	0.783856	0.777491	0.739814	0.779233	0.746946	0.903610	0.738325	0.744007
blues.00012	GZ	93.68	187.06	1	92	184.57	1	0.945263	0.053353	0	1	0.945263	0.919934	0.894740	0.889081	0.884729	0.896812	0.869975	0.870923	0.914463
blues.00013	GZ	107.12	107.49	0	54	107.67	1	0.956776	0.028465	0	1	0.956776	0.935411	0.927908	0.931778	0.928714	0.924384	0.927586	0.946080	0.922098
blues.00014	GZ	84.07	160.0	-1	71	152.00	1	0.937610	0.027050	1	0	0.937610	0.918169	0.912489	0.913062	0.928521	0.908561	0.907256	0.908632	0.901316
blues.00015	GZ	98.31	99.53	0	50	103.36	1	0.947421	0.026470	0	1	0.947421	0.930280	0.918482	0.922120	0.914460	0.913103	0.919783	0.935789	0.924300
blues.00016	GZ	100.85	100.35	0	98	198.77	1	0.940190	0.029106	0	0	0.940190	0.913918	0.913326	0.909276	0.908894	0.914552	0.903634	0.912893	0.906350
blues.00017	GZ	169.32	167.12	0	85	172.27	1	0.924641	0.033463	0	1	0.924641	0.895837	0.890907	0.891449	0.887572	0.881456	0.887251	0.894875	0.892973
blues.00018	GZ	82.43	83.0	0	42	83.35	1	0.919573	0.049542	0	0	0.919573	0.889510	0.874584	0.870098	0.849975	0.869963	0.888443	0.864290	0.802481
blues.00019	GZ	123.93	124.18	0	60	123.05	4	0.942544	0.032337	0	0	0.937026	0.926918	0.917072	0.942544	0.909299	0.911115	0.905230	0.908686	0.900548
blues.00020	GZ	137.61	136.35	0	69	136.00	1	0.951560	0.013327	1	0	0.951560	0.941860	0.940532	0.939926	0.938310	0.935344	0.938155	0.928756	0.924391
blues.00021	GZ	100.97	100.16	0	51	99.38	1	0.935322	0.063240	0	1	0.935322	0.901929	0.873905	0.849898	0.836441	0.826183	0.888064	0.888575	0.870259
blues.00022	GZ	98.17	98.97	0	47	95.70	1	0.936111	0.054099	0	0	0.936111	0.909225	0.885531	0.871360	0.866691	0.865975	0.900775	0.878494	0.886351
blues.00023	GZ	96.8	97.52	0	93	184.57	1	0.935506	0.048864	0	1	0.935506	0.899512	0.888878	0.878914	0.884407	0.889014	0.865536	0.880587	0.901949
blues.00024	GZ	103.59	103.63	0	53	103.36	1	0.923131	0.030763	0	0	0.923131	0.892895	0.884630	0.908354	0.891842	0.888609	0.898702	0.895339	0.870664
blues.00025	GZ	95.33	185.76	1	47	92.29	1	0.973187	0.026081	0	1	0.973187	0.957705	0.949556	0.943345	0.936861	0.944657	0.956188	0.964259	0.935286
blues.00026	GZ	81.31	166.86	1	40	83.35	1	0.927104	0.031215	0	1	0.927104	0.902338	0.888178	0.890576	0.883108	0.882994	0.910187	0.901203	0.902366
blues.00027	GZ	93.33	95.3	0	44	92.29	1	0.917414	0.053458	1	0	0.917414	0.885663	0.892865	0.900751	0.848491	0.842104	0.838604	0.868446	0.859468
blues.00028	GZ	103.84	103.87	0	52	103.36	4	0.914718	0.020424	1	0	0.914014	0.891719	0.883465	0.914718	0.903165	0.893885	0.894703	0.898765	0.871588
blues.00029	GZ	126.46	134.06	-1	64	129.20	1	0.843210	0.057061	1	1	0.843210	0.788363	0.806204	0.783934	0.766589	0.775600	0.771666	0.804427	0.805074
blues.00030	GZ	110.11	110.82	0	75	152.00	1	0.877247	0.095747	1	0	0.877247	0.832339	0.821616	0.795747	0.762192	0.768651	0.794349	0.740354	0.743926
